country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","17-01-2025 18:00:00",28.530785,77.271255,CO,2,120,3
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","17-01-2025 18:00:00",28.623763,77.287209,NO2,41,129,71
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","17-01-2025 18:00:00",28.623763,77.287209,OZONE,1,64,46
India,Delhi,Delhi,"Pusa, Delhi - IMD","17-01-2025 18:00:00",28.636110,77.173332,PM10,98,410,187
India,Delhi,Delhi,"Pusa, Delhi - IMD","17-01-2025 18:00:00",28.636110,77.173332,NO2,19,134,51
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","17-01-2025 18:00:00",28.732820,77.170633,NO2,25,104,59
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","17-01-2025 18:00:00",28.732820,77.170633,NH3,6,13,8
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","17-01-2025 18:00:00",28.732820,77.170633,CO,48,147,60
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","17-01-2025 18:00:00",28.732820,77.170633,OZONE,12,66,24
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","17-01-2025 18:00:00",28.580280,77.233829,PM2.5,162,425,286
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","17-01-2025 18:00:00",28.5918245,77.2273074,PM2.5,86,367,227
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","17-01-2025 18:00:00",28.5918245,77.2273074,NO2,67,157,104
India,Delhi,Delhi,"Pusa, Delhi - IMD","17-01-2025 18:00:00",28.636110,77.173332,OZONE,15,66,35
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","17-01-2025 18:00:00",28.563262,77.186937,NO2,47,74,57
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","17-01-2025 18:00:00",28.563262,77.186937,NH3,4,9,6
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","17-01-2025 18:00:00",28.6514781,77.1473105,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","17-01-2025 18:00:00",28.6514781,77.1473105,NH3,4,11,6
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","17-01-2025 18:00:00",28.5504249,77.2159377,PM10,117,359,201
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","17-01-2025 18:00:00",28.570173,76.933762,CO,52,86,64
India,Delhi,Delhi,"Narela, Delhi - DPCC","17-01-2025 18:00:00",28.822836,77.101981,PM10,121,359,184
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","17-01-2025 18:00:00",28.567890,77.250515,CO,2,126,29
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","17-01-2025 18:00:00",28.567890,77.250515,OZONE,14,88,67
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","17-01-2025 18:00:00",28.6573814,77.1585447,PM2.5,182,442,300
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","17-01-2025 18:00:00",22.977134,72.553024,PM2.5,NA,NA,NA
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","17-01-2025 18:00:00",23.002657,72.591912,PM10,NA,NA,NA
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","17-01-2025 18:00:00",23.002657,72.591912,SO2,NA,NA,NA
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","17-01-2025 18:00:00",23.002657,72.591912,OZONE,30,48,42
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","17-01-2025 18:00:00",23.020509,72.579261,OZONE,2,57,47
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","17-01-2025 18:00:00",23.016834,72.625775,PM2.5,54,232,118
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","17-01-2025 18:00:00",28.531346,77.190156,NH3,7,9,8
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","17-01-2025 18:00:00",28.531346,77.190156,CO,48,114,57
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","17-01-2025 18:00:00",28.699793,77.165453,PM2.5,277,487,352
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","17-01-2025 18:00:00",28.699793,77.165453,PM10,164,477,245
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","17-01-2025 18:00:00",28.699793,77.165453,NO2,51,164,88
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","17-01-2025 18:00:00",28.636429,77.201067,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","17-01-2025 18:00:00",28.636429,77.201067,OZONE,6,77,60
India,Delhi,Delhi,"Mundka, Delhi - DPCC","17-01-2025 18:00:00",28.684678,77.076574,NO2,41,111,55
India,Delhi,Delhi,"Mundka, Delhi - DPCC","17-01-2025 18:00:00",28.684678,77.076574,OZONE,16,50,43
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","17-01-2025 18:00:00",28.656756,77.227234,NO2,26,145,102
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","17-01-2025 18:00:00",28.656756,77.227234,OZONE,10,37,24
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","17-01-2025 18:00:00",12.951913,77.539784,PM2.5,53,108,73
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","17-01-2025 18:00:00",12.951913,77.539784,SO2,5,8,7
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","17-01-2025 18:00:00",12.951913,77.539784,CO,24,72,57
